Week,vegan: (Wereldwijd)
2021-10-17,85
2021-10-24,85
2021-10-31,88
2021-11-07,86
2021-11-14,88
2021-11-21,98
2021-11-28,87
2021-12-05,87
2021-12-12,88
2021-12-19,99
2021-12-26,87
2022-01-02,92
2022-01-09,93
2022-01-16,85
2022-01-23,89
2022-01-30,87
2022-02-06,91
2022-02-13,87
2022-02-20,82
2022-02-27,82
2022-03-06,81
2022-03-13,91
2022-03-20,100
2022-03-27,90
2022-04-03,92
2022-04-10,92
2022-04-17,84
2022-04-24,87
2022-05-01,83
2022-05-08,77
2022-05-15,75
2022-05-22,77
2022-05-29,76
2022-06-05,78
2022-06-12,79
2022-06-19,74
2022-06-26,71
2022-07-03,74
2022-07-10,77
2022-07-17,78
2022-07-24,76
2022-07-31,78
2022-08-07,82
2022-08-14,76
2022-08-21,74
2022-08-28,78
2022-09-04,74
2022-09-11,73
2022-09-18,71
2022-09-25,75
2022-10-02,75
2022-10-09,76
